,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,stage,year,founder Count,num_founders,FounderCategory
417,Nao Spirits & Beverages Pvt Ltd,2016,Delhi,Beverages,India's first Craft Gin company,Anand Virmani,None,2000000.0,early traction,2021,1,1,Multiple Founders
418,PurpleTutor,2019,Mumbai,Education,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,300000.0,validation,2021,2,2,Multiple Founders
419,Karkhana.io,2018,Mumbai,Manufacturing,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,1500000.0,validation,2021,1,1,Multiple Founders
420,SSA Finserv,2019,Mumbai,Financial Services,Small businesses-focused non-banking lender,Vikas Agarwal,Blue Ashva Capital,3000000.0,others,2021,1,1,Multiple Founders
421,CoinSwitch Kuber,2017,Bangalore,Financial Services,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",ibbit Capital,15000000.0,early traction,2021,3,3,Multiple Founders
422,Paperfly,2016,Bangalore,E-Commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",com Express,11000000.0,others,2021,4,4,Multiple Founders
423,Infra.Market,2016,Thane,E-Commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,6000000.0,others,2021,2,2,Multiple Founders
424,ReadyAssist,2018,Bangalore,Transportation,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh SV,Satish Grampurohit,1000000.0,validation,2021,1,1,Multiple Founders
425,Chalo,2014,Mumbai,IT,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal",Amit Singhal,7000000.0,others,2021,2,2,Multiple Founders
426,Udaan,2016,Bangalore,E-Commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta",Octahedron Capital,280000000.0,others,2021,3,3,Multiple Founders
427,Unacademy,2015,Bangalore,Education,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta",Tiger Global,50000000.0,others,2021,4,4,Multiple Founders
428,Ergos,2012,Samastipur,AgriTech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar",CDC Group,3000000.0,early traction,2021,2,2,Multiple Founders
429,Bolkar,2018,Bangalore,Media,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai",GS,3000000.0,others,2021,4,4,Multiple Founders
430,Wright Research,2019,Mumbai,Advisory firm,Quantitative Investment Management and Research,Sonam Srivastava,Ajat Hukkoo,3000000.0,validation,2021,1,1,Multiple Founders
431,Knocksense,2016,Lucknow,Media,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank",Mumbai Angels,200000.0,others,2021,3,3,Multiple Founders
432,Pariksha,2015,Pune,Education,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat",Venture Catalysts,1800000.0,others,2021,4,4,Multiple Founders
433,Toothsi,2018,Mumbai,HealthTech,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000.0,early traction,2021,4,4,Multiple Founders
434,Jumbotail,2015,Bangalore,Food Industry,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners,14300000.0,early traction,2021,2,2,Multiple Founders
435,Phi Commerce,2015,Pune,Financial Services,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar",Yatra Angel Network,4000000.0,early traction,2021,4,4,Multiple Founders
436,Zupee,2018,Gurgaon,Entertainment,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh",Orios Venture Partners,10000000.0,others,2021,2,2,Multiple Founders
437,Oneiric Gaming,2020,Chandigarh,Entertainment,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Avneet Singh,Trishneet Arora,3000000.0,others,2021,1,1,Multiple Founders
438,Finsall,2019,Bangalore,Financial Services,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000.0,validation,2021,2,2,Multiple Founders
439,Legalwiz.in,2015,Ahmedabad,Legaltech,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,500000.0,others,2021,2,2,Multiple Founders
440,Practically,2018,Telangana,Education,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,4000000.0,early traction,2021,1,1,Multiple Founders
441,Cred,2018,Bangalore,Financial Services,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,DST Global,81000000.0,early traction,2021,1,1,Multiple Founders
442,Devic Earth,2018,Bangalore,Pollution control equiptment,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,1000000.0,others,2021,1,1,Multiple Founders
443,Zerone,2018,Gurgaon,Financial Services,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,1300000.0,early traction,2021,1,1,Multiple Founders
444,boAt,2016,Mumbai,Fashion and lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta",InnoVen Capital,100000000.0,others,2021,2,2,Multiple Founders
445,Pocket Aces,2013,Mumbai,Media,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh",3one4 Capital,2000000.0,others,2021,3,3,Multiple Founders
446,Kyt,2020,Bangalore,Education,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000.0,early traction,2021,2,2,Multiple Founders
447,iMumz,2019,Bangalore,HealthTech,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate",nzia Ventures,300000.0,others,2021,4,4,Multiple Founders
448,BharatPe,2018,Delhi,Financial Services,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani",Steadview Capital,8200000.0,others,2021,2,2,Multiple Founders
449,CropIn,2010,Bangalore,AgriTech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,Invested Development,20000000.0,early traction,2021,1,1,Multiple Founders
450,Vanity Wagon,2018,Haryana,Fashion and lifestyle,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,Dhianu Das,200000.0,validation,2021,1,1,Multiple Founders
451,Oyo,2012,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,itesh Agarwal,Hindustan Media Venture,7000000.0,early traction,2021,1,1,Multiple Founders
452,Agri10x,2018,Pune,AgriTech,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,3000000.0,validation,2021,3,3,Multiple Founders
453,BlackSoil,2016,Mumbai,Financial Services,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Awign Enterprises,4000000.0,others,2021,1,1,Multiple Founders
454,HobSpace,2019,Mumbai,Education,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain",Siddharth Bhaskar Shah,100000.0,early traction,2021,2,2,Multiple Founders
455,DcodeAI,2020,Delhi,Education,EMPOWER LEARNERS TO BE FUTURE READY USING AI,"Kartik Sharma, Ashish Aggarwal",S Chand,500000.0,others,2021,2,2,Multiple Founders
456,Biocon Biologics,1978,Bangalore,HealthTech,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,Goldman Sachs,70000000.0,others,2021,1,1,Multiple Founders
457,KiranaKart,2020,Mumbai,E-Commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000.0,validation,2021,2,2,Multiple Founders
458,Meddo,2018,Gurgaon,HealthTech,Meddo is an end-to-end medical services provider,Saurabh Kochhar,growX ventures,3000000.0,early traction,2021,1,1,Multiple Founders
459,SP Robotic Works,2012,Chennai,Education,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,early traction,2021,2,2,Multiple Founders
460,3SC,2018,Gurgaon,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000.0,early traction,2021,2,2,Multiple Founders
461,Chai Waale,2018,Chennai,Food Industry,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,Sunil Sethia,600000.0,others,2021,1,1,Multiple Founders
462,Minimalist,2020,Jaipur,Fashion and lifestyle,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000.0,early traction,2021,2,2,Multiple Founders
463,Biconomy,2019,Delhi,Logistics,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar",Mechanism Capital,9000000.0,others,2021,2,2,Multiple Founders
